	imageID	pred	ground
0	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_001.jpg	[0]	[0]
1	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_005.jpg	[0]	[0]
2	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_009.jpg	[0]	[0]
3	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_013.jpg	[0]	[0]
4	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_017.jpg	[0]	[0]
5	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_021.jpg	[0]	[0]
6	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_025.jpg	[0]	[0]
7	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_029.jpg	[0]	[0]
8	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_033.jpg	[0]	[0]
9	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_037.jpg	[0]	[0]
10	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_041.jpg	[0]	[0]
11	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_045.jpg	[0]	[0]
12	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_049.jpg	[0]	[0]
13	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_053.jpg	[0]	[0]
14	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_057.jpg	[0]	[0]
15	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_061.jpg	[0]	[0]
16	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_065.jpg	[0]	[0]
17	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_069.jpg	[0]	[0]
18	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_073.jpg	[0]	[0]
19	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_077.jpg	[0]	[0]
20	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_081.jpg	[0]	[0]
21	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_085.jpg	[0]	[0]
22	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_089.jpg	[0]	[0]
23	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_093.jpg	[0]	[0]
24	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_097.jpg	[0]	[0]
25	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_101.jpg	[0]	[0]
26	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_105.jpg	[0]	[0]
27	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_109.jpg	[0]	[0]
28	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_113.jpg	[0]	[0]
29	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_117.jpg	[0]	[0]
30	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_121.jpg	[0]	[0]
31	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_125.jpg	[0]	[0]
32	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_129.jpg	[0]	[0]
33	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_133.jpg	[0]	[0]
34	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_137.jpg	[0]	[0]
35	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_141.jpg	[0]	[0]
36	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_145.jpg	[0]	[0]
37	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_149.jpg	[0]	[0]
38	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_153.jpg	[0]	[0]
39	E:/Projects/2020_lesion/stim/animate_inanimate\animate\im_157.jpg	[0]	[0]
40	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_161.jpg	[1]	[1]
41	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_165.jpg	[1]	[1]
42	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_169.jpg	[1]	[1]
43	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_173.jpg	[1]	[1]
44	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_177.jpg	[1]	[1]
45	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_181.jpg	[1]	[1]
46	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_185.jpg	[1]	[1]
47	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_189.jpg	[1]	[1]
48	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_193.jpg	[1]	[1]
49	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_197.jpg	[1]	[1]
50	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_201.jpg	[1]	[1]
51	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_205.jpg	[1]	[1]
